Username,User ID,Skill Rating,Title
-Joni-,9988837,2848,Advanced
rc fox,3971190,2846,Advanced
tthanh,31885496,2845,Advanced
Marota,10278890,2844,Advanced
Crowley,6341006,2842,Advanced
yaneuwu,13929270,2842,Advanced
[-cris-],14599677,2842,Advanced
Des9,5404711,2841,Advanced
dogshit player,10491951,2841,Advanced
ElenaMii,9874807,2840,Advanced
Angvite,7658884,2838,Advanced
xHoangPZ,33857556,2838,Advanced
Jumper-,6803892,2837,Advanced
XDarionX,1871745,2836,Advanced
-Rico,2392087,2834,Advanced
TheFlameWind,6233826,2834,Advanced
giru HD,707456,2834,Advanced
Ficsta,2367959,2831,Advanced
Shurelia,3807986,2830,Advanced
alluya69,2212951,2829,Advanced
Laffey Gaming,5122949,2829,Advanced
Tomcat,4050223,2827,Advanced
Love Lolita,4266634,2827,Advanced
F D Flourite,2459589,2825,Advanced
Spinacina,4277070,2824,Advanced
-Overdose-,7749445,2822,Advanced
solitaire74,2441896,2821,Advanced
Naniwa,13460592,2818,Advanced
EpicDoggo,9799927,2817,Advanced
-Lyney-,7124984,2817,Advanced
Putin CtB,11694783,2817,Advanced
A-40,14510301,2817,Advanced
AnhMinh_709,27819084,2814,Advanced
zuida3,11414445,2813,Advanced
Miraiichan,9421873,2813,Advanced
-Jingliu-,6572786,2813,Advanced
-Suru-,16932505,2813,Advanced
Alexlin7,4841753,2812,Advanced
Ryma,8922653,2811,Advanced
Last Bubble,1302259,2810,Advanced
Toggeni,3555166,2810,Advanced
